'freguesia','bairro','tipologia','renda','nrelementos'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','3'
'Paranhos','Outeiro','2',' < 20 ','1'
'Paranhos','Carriçal','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[20 - 40[','3'
'Campanhã','Monte da Bela','3','[80 - 100[','2'
'Paranhos','Outeiro','3',' < 20 ','5'
'Campanhã','Eng. Machado Vaz','3','[20 - 40[','3'
'Ramalde','Francos','3','[80 - 100[','3'
'Paranhos','Regado','4','[80 - 100[','3'
'Campanhã','Pio XII','3','[80 - 100[','4'
'Paranhos','Carriçal','3','[60 - 80[','2'
'Paranhos','Carriçal','3','[80 - 100[','2'
'Campanhã','Falcão','4','[80 - 100[','3'
'Campanhã','Lagarteiro','2',' < 20 ','3'
'Paranhos','Carriçal','3','[80 - 100[','4'
'Paranhos','Outeiro','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3',' < 20 ','3'
'Ramalde','Campinas','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','<= 1','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','4','[20 - 40[','1'
'Campanhã','Ilhéu','3','[60 - 80[','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Viso','3','[20 - 40[','2'
'Bonfim','Fernão de Magalhães','<= 1',' < 20 ','1'
'Ramalde','Francos','2','[60 - 80[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Campanhã','Antas','2','[180 - 200[','3'
'Campanhã','Ilhéu','3','[20 - 40[','4'
'Campanhã','Cerco do Porto','2','[20 - 40[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3',' < 20 ','2'
'Ramalde','Campinas','2','[20 - 40[','1'
'Campanhã','Ilhéu','3','[20 - 40[','2'
'Ramalde','Viso','3','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','3','[100 - 120[','3'
'Campanhã','Cerco do Porto','2','[20 - 40[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','3'
'Paranhos','Outeiro','<= 1',' < 20 ','1'
